kanji	on_readings	kun_readings	stroke_count	meanings	name_readings	heisig_en	jlpt	grade	notes	unicode
日	['ジツ', 'ニチ']	['-か', '-び', 'ひ']	4	['Japan', 'counter for days', 'day', 'sun']	['あ', 'あき', 'いる', 'く', 'くさ', 'こう', 'す', 'たち', 'に', 'にっ', 'につ', 'へ']	day	4	1	[]	65E5
一	['イチ', 'イツ']	['ひと-', 'ひと.つ']	1	['one', 'one radical (no.1)']	['い', 'いっ', 'いる', 'かず', 'かつ', 'かづ', 'てん', 'はじめ', 'ひ', 'ひとつ', 'まこと']	one	4	1	[]	4E00
国	['コク']	['くに']	8	['country']	['くな', 'こ']	country	4	2	[]	56FD
人	['ジン', 'ニン']	['-と', '-り', 'ひと']	2	['person']	['じ', 'と', 'ね', 'ひこ', 'ふみ']	person	4	1	[]	4EBA
年	['ネン']	['とし']	6	['counter for years', 'year']	['ね']	year	4	1	[]	5E74
大	['タイ', 'ダイ']	['-おお.いに', 'おお-', 'おお.きい']	3	['big', 'large']	['うふ', 'お', 'おう', 'た', 'たかし', 'とも', 'はじめ', 'ひろ', 'ひろし', 'まさ', 'まさる', 'もと', 'わ']	large	4	1	[]	5927
十	['ジッ', 'ジュウ', 'ジュッ']	['そ', 'と', 'とお']	2	['ten']	['い', 'か', 'ぎ', 'さ', 'し', 'そ', 'そう', 'ち', 'とう', 'ね', 'ま', 'る', 'わ']	ten	4	1	[]	5341
二	['ジ', 'ニ']	['ふた', 'ふた.つ', 'ふたたび']	2	['two', 'two radical (no. 7)']	['おと', 'つぎ', 'つぐ', 'にい', 'は', 'ふ', 'ふたつ', 'ふだ', 'わ']	two	4	1	[]	4E8C
本	['ホン']	['もと']	5	['book', 'counter for long cylindrical things', 'main', 'origin', 'present', 'real', 'true']	['ごう', 'まと']	book	4	1	[]	672C
中	['チュウ']	['あた.る', 'うち', 'なか']	4	['center', 'in', 'inside', 'mean', 'middle']	['あたる', 'かなえ']	in	4	1	[]	4E2D
